Time_proposed bufferSize_proposed hasThroughput_proposed estimatedBW_proposed videoLevel_proposed tcpThroughput_proposed
0.29 21 2093.00 4883.29 3050 0.00
0.29 22 0.00 4829.31 3050 0.00
0.29 21 3330.00 4829.31 3050 0.00
0.29 22 0.00 4832.42 3050 0.00
0.29 21 4739.00 4832.42 3050 0.00
0.29 22 0.00 4874.73 3050 0.00
0.29 23 0.00 4940.59 3050 0.00
0.29 22 2007.00 4940.59 3050 0.00
0.29 23 0.00 5667.10 3050 0.00
0.30 22 1810.00 5667.10 4250 0.00
0.30 21 7717.00 5667.10 4250 0.00
0.30 22 0.00 5853.60 4250 0.00
0.30 21 3772.00 5853.60 4250 0.00
